foe_code,cluster_code,course_id,eftsl,CSP_student_contribution,CSP_commonwealth_contribution
10101,1,3028,0.125,555.625,1864.375
10101,1,3028,0.125,555.625,1864.375
10101,1,3028,0.125,555.625,1864.375
10101,1,3028,0.125,555.625,1864.375
10101,1,3029,0.125,555.625,1864.375
10101,1,3029,0.125,555.625,1864.375
10101,1,3029,0.125,555.625,1864.375
10101,1,3034,0.125,555.625,1864.375
10101,1,3276,0.125,555.625,1864.375
10101,1,3276,0.125,555.625,1864.375
10101,1,3276,0.125,555.625,1864.375
10101,1,3276,0.125,555.625,1864.375
10101,1,3277,0.125,555.625,1864.375
10101,1,3277,0.125,555.625,1864.375
10101,1,3279,0.125,555.625,1864.375
10101,1,3279,0.125,555.625,1864.375
10101,1,3279,0.125,555.625,1864.375
10101,1,3281,0.125,555.625,1864.375
10101,1,3282,0.125,555.625,1864.375
10101,1,3282,0.125,555.625,1864.375
10101,1,3282,0.125,555.625,1864.375
10101,1,3282,0.125,555.625,1864.375
10101,1,3284,0.125,555.625,1864.375
10101,1,3284,0.125,555.625,1864.375
10101,1,3284,0.125,555.625,1864.375
10101,1,3295,0.125,555.625,1864.375
10101,1,3297,0.125,555.625,1864.375
10101,1,3307,0.125,555.625,1864.375
10101,1,3315,0.125,555.625,1864.375
10101,1,3322,0.125,555.625,1864.375
10101,1,3322,0.125,555.625,1864.375
10101,1,3322,0.125,555.625,1864.375
10101,1,3322,0.125,555.625,1864.375
10101,1,3322,0.125,555.625,1864.375
10101,1,3322,0.125,555.625,1864.375
10101,1,3322,0.125,555.625,1864.375
10101,1,3322,0.125,555.625,1864.375
10101,1,3322,0.125,555.625,1864.375
10101,1,3324,0.125,555.625,1864.375
10101,1,3354,0.125,555.625,1864.375
10101,1,3354,0.125,555.625,1864.375
10101,1,3579,0.125,555.625,1864.375
10101,1,3579,0.125,555.625,1864.375
10101,1,3598,0.125,555.625,1864.375
10101,1,3957,0.125,555.625,1864.375
10101,1,3957,0.125,555.625,1864.375
10101,1,4420,0.125,555.625,1864.375
10101,1,4733,0.125,555.625,1864.375
10101,1,4733,0.125,555.625,1864.375
10101,1,4839,0.125,555.625,1864.375
10101,1,4918,0.125,555.625,1864.375
10101,1,4920,0.125,555.625,1864.375
10101,1,4920,0.125,555.625,1864.375
10101,1,4952,0.125,555.625,1864.375
10101,1,4956,0.125,555.625,1864.375
10101,1,4965,0.125,555.625,1864.375
10101,1,4965,0.125,555.625,1864.375
10101,1,4967,0.125,555.625,1864.375
10101,1,4986,0.125,555.625,1864.375
10101,1,5028,0.125,555.625,1864.375
10101,1,5029,0.125,555.625,1864.375
10101,1,5031,0.125,555.625,1864.375
10101,1,5032,0.125,555.625,1864.375
10101,1,5057,0.125,555.625,1864.375
10101,1,5068,0.125,555.625,1864.375
10101,1,5132,0.125,555.625,1864.375
10103,1,4733,80.0,355600.0,1193200.0
10103,1,2976,22.0,97790.0,328130.0
10103,1,2976,11.375,50561.875,169658.125
10103,1,2976,7.5,33337.5,111862.5
10103,1,2978,6.25,27781.25,93218.75
10103,1,2978,6.0,26670.0,89490.0
10103,1,2956,5.875,26114.375,87625.625
10103,1,2976,5.75,25558.75,85761.25
10103,1,2958,5.25,23336.25,78303.75
10103,1,2976,5.25,23336.25,78303.75
10103,1,2976,5.0,22225.0,74575.0
10103,1,4788,4.5,20002.5,67117.5
10103,1,2956,3.625,16113.125,54066.875
10103,1,2976,3.625,16113.125,54066.875
10103,1,3276,3.25,14446.25,48473.75
10103,1,3279,3.25,14446.25,48473.75
10103,1,3028,3.125,13890.625,46609.375
10103,1,2947,3.0,13335.0,44745.0
10103,1,2976,2.75,12223.75,41016.25
10103,1,2978,2.75,12223.75,41016.25
10103,1,4951,2.75,12223.75,41016.25
10103,1,5029,2.625,11668.125,39151.875
10103,1,4416,2.375,10556.875,35423.125
10103,1,2994,2.25,10001.25,33558.75
10103,1,3029,2.25,10001.25,33558.75
10103,1,2947,2.0,8890.0,29830.0
10103,1,2954,2.0,8890.0,29830.0
10103,1,2991,2.0,8890.0,29830.0
10103,1,2984,1.875,8334.375,27965.625
10103,1,3278,1.875,8334.375,27965.625
10103,1,4196,1.875,8334.375,27965.625
10103,1,2954,1.75,7778.75,26101.25
10103,1,3029,1.75,7778.75,26101.25
10103,1,3297,1.75,7778.75,26101.25
10103,1,4919,1.75,7778.75,26101.25
10103,1,2951,1.625,7223.125,24236.875
10103,1,2951,1.625,7223.125,24236.875
10103,1,4036,1.625,7223.125,24236.875
10103,1,2976,1.5,6667.5,22372.5
10103,1,3292,1.5,6667.5,22372.5
10103,1,3585,1.5,6667.5,22372.5
10103,1,2947,1.375,6111.875,20508.125
10103,1,2976,1.375,6111.875,20508.125
10103,1,2976,1.375,6111.875,20508.125
10103,1,3028,1.375,6111.875,20508.125
10103,1,4246,1.375,6111.875,20508.125
10103,1,4945,1.375,6111.875,20508.125
10103,1,2954,1.25,5556.25,18643.75
10103,1,2954,1.25,5556.25,18643.75
10103,1,2951,1.125,5000.625,16779.375
10103,1,3028,1.125,5000.625,16779.375
10103,1,3028,1.125,5000.625,16779.375
10103,1,3029,1.125,5000.625,16779.375
10103,1,4036,1.125,5000.625,16779.375
10103,1,4965,1.125,5000.625,16779.375
10103,1,2951,1.0,4445.0,14915.0
10103,1,2954,1.0,4445.0,14915.0
10103,1,2956,1.0,4445.0,14915.0
10103,1,2976,1.0,4445.0,14915.0
10103,1,2981,1.0,4445.0,14915.0
10103,1,3277,1.0,4445.0,14915.0
10103,1,4965,1.0,4445.0,14915.0
10103,1,3579,0.875,3889.375,13050.625
10103,1,5028,0.875,3889.375,13050.625
10103,1,5055,0.875,3889.375,13050.625
10103,1,2951,0.75,3333.75,11186.25
10103,1,2951,0.75,3333.75,11186.25
10103,1,2969,0.75,3333.75,11186.25
10103,1,2997,0.75,3333.75,11186.25
10103,1,3305,0.75,3333.75,11186.25
10103,1,3957,0.75,3333.75,11186.25
10103,1,4196,0.75,3333.75,11186.25
10103,1,4733,0.75,3333.75,11186.25
10103,1,5032,0.75,3333.75,11186.25
10103,1,5068,0.75,3333.75,11186.25
10103,1,2954,0.625,2778.125,9321.875
10103,1,2997,0.625,2778.125,9321.875
10103,1,3028,0.625,2778.125,9321.875
10103,1,3028,0.625,2778.125,9321.875
10103,1,3299,0.625,2778.125,9321.875
10103,1,4724,0.625,2778.125,9321.875
10103,1,4930,0.625,2778.125,9321.875
10103,1,2947,0.5,2222.5,7457.5
10103,1,2951,0.5,2222.5,7457.5
10103,1,2951,0.5,2222.5,7457.5
10103,1,2954,0.5,2222.5,7457.5
10103,1,2969,0.5,2222.5,7457.5
10103,1,2978,0.5,2222.5,7457.5
10103,1,2999,0.5,2222.5,7457.5
10103,1,3028,0.5,2222.5,7457.5
10103,1,3295,0.5,2222.5,7457.5
10103,1,3322,0.5,2222.5,7457.5
10103,1,3952,0.5,2222.5,7457.5
10103,1,4403,0.5,2222.5,7457.5
10103,1,4416,0.5,2222.5,7457.5
10103,1,4676,0.5,2222.5,7457.5
10103,1,4733,0.5,2222.5,7457.5
10103,1,4788,0.5,2222.5,7457.5
10103,1,4918,0.5,2222.5,7457.5
10103,1,4920,0.5,2222.5,7457.5
10103,1,4952,0.5,2222.5,7457.5
10103,1,4998,0.5,2222.5,7457.5
10103,1,2930,0.375,1666.875,5593.125
10103,1,2947,0.375,1666.875,5593.125
10103,1,2951,0.375,1666.875,5593.125
10103,1,2976,0.375,1666.875,5593.125
10103,1,3015,0.375,1666.875,5593.125
10103,1,3028,0.375,1666.875,5593.125
10103,1,3295,0.375,1666.875,5593.125
10103,1,3297,0.375,1666.875,5593.125
10103,1,3299,0.375,1666.875,5593.125
10103,1,3305,0.375,1666.875,5593.125
10103,1,3307,0.375,1666.875,5593.125
10103,1,3315,0.375,1666.875,5593.125
10103,1,3324,0.375,1666.875,5593.125
10103,1,4733,0.375,1666.875,5593.125
10103,1,4733,0.375,1666.875,5593.125
10103,1,4956,0.375,1666.875,5593.125
10103,1,4967,0.375,1666.875,5593.125
10103,1,2941,0.25,1111.25,3728.75
10103,1,2951,0.25,1111.25,3728.75
10103,1,2951,0.25,1111.25,3728.75
10103,1,2951,0.25,1111.25,3728.75
10103,1,2954,0.25,1111.25,3728.75
10103,1,2956,0.25,1111.25,3728.75
10103,1,2956,0.25,1111.25,3728.75
10103,1,2969,0.25,1111.25,3728.75
10103,1,2974,0.25,1111.25,3728.75
10103,1,2981,0.25,1111.25,3728.75
10103,1,2999,0.25,1111.25,3728.75
10103,1,2999,0.25,1111.25,3728.75
10103,1,2999,0.25,1111.25,3728.75
10103,1,3015,0.25,1111.25,3728.75
10103,1,3017,0.25,1111.25,3728.75
10103,1,3028,0.25,1111.25,3728.75
10103,1,3028,0.25,1111.25,3728.75
10103,1,3277,0.25,1111.25,3728.75
10103,1,3277,0.25,1111.25,3728.75
10103,1,3277,0.25,1111.25,3728.75
10103,1,3277,0.25,1111.25,3728.75
10103,1,3287,0.25,1111.25,3728.75
10103,1,3315,0.25,1111.25,3728.75
10103,1,3315,0.25,1111.25,3728.75
10103,1,3321,0.25,1111.25,3728.75
10103,1,4246,0.25,1111.25,3728.75
10103,1,4564,0.25,1111.25,3728.75
10103,1,4733,0.25,1111.25,3728.75
10103,1,4922,0.25,1111.25,3728.75
10103,1,4935,0.25,1111.25,3728.75
10103,1,4964,0.25,1111.25,3728.75
10103,1,4966,0.25,1111.25,3728.75
10103,1,4980,0.25,1111.25,3728.75
10103,1,5031,0.25,1111.25,3728.75
10103,1,5057,0.25,1111.25,3728.75
10103,1,2947,0.125,555.625,1864.375
10103,1,2947,0.125,555.625,1864.375
10103,1,2947,0.125,555.625,1864.375
10103,1,2950,0.125,555.625,1864.375
10103,1,2950,0.125,555.625,1864.375
10103,1,2951,0.125,555.625,1864.375
10103,1,2951,0.125,555.625,1864.375
10103,1,2951,0.125,555.625,1864.375
10103,1,2951,0.125,555.625,1864.375
10103,1,2951,0.125,555.625,1864.375
10103,1,2954,0.125,555.625,1864.375
10103,1,2956,0.125,555.625,1864.375
10103,1,2969,0.125,555.625,1864.375
10103,1,2973,0.125,555.625,1864.375
10103,1,2974,0.125,555.625,1864.375
10103,1,2975,0.125,555.625,1864.375
10103,1,2976,0.125,555.625,1864.375
10103,1,2977,0.125,555.625,1864.375
10103,1,2978,0.125,555.625,1864.375
10103,1,2978,0.125,555.625,1864.375
10103,1,2978,0.125,555.625,1864.375
10103,1,2980,0.125,555.625,1864.375
10103,1,2980,0.125,555.625,1864.375
10103,1,2981,0.125,555.625,1864.375
10103,1,2981,0.125,555.625,1864.375
10103,1,2983,0.125,555.625,1864.375
10103,1,2984,0.125,555.625,1864.375
10103,1,2984,0.125,555.625,1864.375
10103,1,2984,0.125,555.625,1864.375
10103,1,2984,0.125,555.625,1864.375
10103,1,3000,0.125,555.625,1864.375
10103,1,3012,0.125,555.625,1864.375
10103,1,3015,0.125,555.625,1864.375
10103,1,3017,0.125,555.625,1864.375
10103,1,3017,0.125,555.625,1864.375
10103,1,3017,0.125,555.625,1864.375
10103,1,3017,0.125,555.625,1864.375
10103,1,3017,0.125,555.625,1864.375
10103,1,3022,0.125,555.625,1864.375
10103,1,3022,0.125,555.625,1864.375
10103,1,3022,0.125,555.625,1864.375
10103,1,3022,0.125,555.625,1864.375
10103,1,3029,0.125,555.625,1864.375
10103,1,3034,0.125,555.625,1864.375
10103,1,3277,0.125,555.625,1864.375
10103,1,3277,0.125,555.625,1864.375
10103,1,3277,0.125,555.625,1864.375
10103,1,3277,0.125,555.625,1864.375
10103,1,3277,0.125,555.625,1864.375
10103,1,3277,0.125,555.625,1864.375
