"enrol_id","foe_code","eftsl","student_contribution","commonwealth_contribution","tuition_amount","enrol_unit"
"80979","010900","2.125","19014.50","38870.50","57885.00",17
"80980","010900","2.125","19014.50","38870.50","57885.00",17
"80981","069900","0.375","3355.50","5593.13","8948.63",3
"80982","010999","0.625","5592.50","11432.50","17025.00",5
"80983","069900","0.250","2237.00","3728.75","5965.75",2
"80984","031300","0.125","1118.50","2286.50","3405.00",1
"80985","030301","0.125","1118.50","2286.50","3405.00",1
"80986","010999","0.750","6711.00","13719.00","20430.00",6
"80987","010999","0.625","5592.50","11432.50","17025.00",5
"80988","010999","0.625","5592.50","11432.50","17025.00",5
"80989","020100","0.750","6711.00","11186.25","17897.25",6
"80990","020100","1.750","15659.00","26101.25","41760.25",14
"80991","020119","0.250","2237.00","3728.75","5965.75",2
"80992","020100","0.625","5592.50","9321.88","14914.38",5
"80993","020300","0.500","4474.00","7457.50","11931.50",4
"80994","010900","2.750","24607.00","50303.00","74910.00",22
"80995","010999","2.125","19014.50","38870.50","57885.00",17
"80996","010900","2.125","19014.50","38870.50","57885.00",17
"80997","010901","1.750","15659.00","32011.00","47670.00",14
"80998","039900","0.250","2237.00","4573.00","6810.00",2
"80999","031300","0.125","1118.50","2286.50","3405.00",1
"81000","091903","0.125","2040.38","154.50","2194.88",1
"81001","010911","0.125","1118.50","2286.50","3405.00",1
"81002","010103","3.000","13335.00","44745.00","58080.00",24
"81003","039900","0.250","2237.00","4573.00","6810.00",2
"81004","069900","3.000","26844.00","44745.00","71589.00",24
"81005","010103","0.375","1666.88","5593.13","7260.00",3
"81006","010905","0.875","7829.50","16005.50","23835.00",7
"81007","020119","0.750","6711.00","11186.25","17897.25",6
"81008","010900","1.125","10066.50","20578.50","30645.00",9
"81009","010900","1.125","10066.50","20578.50","30645.00",9
"81010","050901","0.125","1118.50","2286.50","3405.00",1
"81011","050900","0.250","2237.00","4573.00","6810.00",2
"81012","010709","0.125","1118.50","2286.50","3405.00",1
"81013","031199","0.250","2237.00","4573.00","6810.00",2
"81014","050900","0.125","1118.50","2286.50","3405.00",1
"81015","050901","0.125","1118.50","2286.50","3405.00",1
"81016","050101","0.375","1666.88","11398.13","13065.00",3
"81017","050101","0.375","1666.88","11398.13","13065.00",3
"81018","050101","0.250","1111.25","7598.75","8710.00",2
"81019","050101","0.125","555.63","3799.38","4355.00",1
"81020","010103","0.125","555.63","1864.38","2420.00",1
"81021","010103","1.375","6111.88","20508.13","26620.00",11
"81022","010700","0.250","2237.00","4573.00","6810.00",2
"81023","010703","0.125","1118.50","2286.50","3405.00",1
"81024","010703","0.125","1118.50","2286.50","3405.00",1
"81025","010703","0.375","3355.50","6859.50","10215.00",3
"81026","010703","0.125","1118.50","2286.50","3405.00",1
"81027","010703","0.375","3355.50","6859.50","10215.00",3
"81028","010703","0.375","3355.50","6859.50","10215.00",3
"81029","010703","0.250","2237.00","4573.00","6810.00",2
"81030","010101","0.375","1666.88","5593.13","7260.00",3
"81031","010101","0.250","1111.25","3728.75","4840.00",2
"81032","010703","0.250","2237.00","4573.00","6810.00",2
"81033","010101","2.000","8890.00","29830.00","38720.00",16
"81034","010101","2.000","8890.00","29830.00","38720.00",16
"81035","010101","0.250","1111.25","3728.75","4840.00",2
"81036","010101","0.375","1666.88","5593.13","7260.00",3
"81037","010703","0.125","1118.50","2286.50","3405.00",1
"81038","010101","0.125","555.63","1864.38","2420.00",1
"81039","081101","0.125","2040.38","154.50","2194.88",1
"81040","010301","0.375","3355.50","6859.50","10215.00",3
"81041","010500","0.125","1118.50","2286.50","3405.00",1
"81042","010301","0.125","1118.50","2286.50","3405.00",1
"81043","010301","0.250","2237.00","4573.00","6810.00",2
"81044","030701","0.125","1118.50","2286.50","3405.00",1
"81045","010301","0.125","1118.50","2286.50","3405.00",1
"81046","010911","0.125","1118.50","2286.50","3405.00",1
"81047","010301","0.250","2237.00","4573.00","6810.00",2
"81048","091701","0.125","2040.38","154.50","2194.88",1
"81049","020119","0.250","2237.00","3728.75","5965.75",2
"81050","081101","0.125","2040.38","154.50","2194.88",1
"81051","090300","0.250","4080.75","309.00","4389.75",2
"81052","019901","0.125","1118.50","2286.50","3405.00",1
"81053","019901","0.375","3355.50","6859.50","10215.00",3
"81054","100101","0.250","2237.00","3728.75","5965.75",2
"81055","100101","1.000","8948.00","14915.00","23863.00",8
"81056","010101","0.125","555.63","1864.38","2420.00",1
"81057","081101","0.125","2040.38","154.50","2194.88",1
"81058","081101","0.125","2040.38","154.50","2194.88",1
"81059","090300","0.250","4080.75","309.00","4389.75",2
"81060","080101","0.125","2040.38","154.50","2194.88",1
"81061","020119","0.125","1118.50","1864.38","2982.88",1
"81062","020103","0.125","1118.50","1864.38","2982.88",1
"81063","039999","0.125","1118.50","2286.50","3405.00",1
"81064","081101","0.250","4080.75","309.00","4389.75",2
"81065","010300","0.125","1118.50","2286.50","3405.00",1
"81066","010301","0.125","1118.50","2286.50","3405.00",1
"81067","091505","0.125","555.63","2286.50","2842.13",1
"81068","081101","0.125","2040.38","154.50","2194.88",1
"81069","081101","0.125","2040.38","154.50","2194.88",1
"81070","090900","0.125","2040.38","154.50","2194.88",1
"81071","100101","0.125","1118.50","1864.38","2982.88",1
"81072","100101","0.125","1118.50","1864.38","2982.88",1
"81073","019901","0.125","1118.50","2286.50","3405.00",1
"81074","019901","0.125","1118.50","2286.50","3405.00",1
"81075","019901","0.125","1118.50","2286.50","3405.00",1
"81076","070115","0.125","555.63","1864.38","2420.00",1
"81077","091901","0.250","4080.75","309.00","4389.75",2
"81078","010301","0.125","1118.50","2286.50","3405.00",1
"81079","010301","0.125","1118.50","2286.50","3405.00",1
"81080","081101","0.125","2040.38","154.50","2194.88",1
"81081","010101","0.125","555.63","1864.38","2420.00",1
"81082","090300","0.125","2040.38","154.50","2194.88",1
"81083","090999","0.250","4080.75","309.00","4389.75",2
"81084","090999","0.250","4080.75","309.00","4389.75",2
"81085","010301","0.125","1118.50","2286.50","3405.00",1
"81086","020100","0.500","4474.00","7457.50","11931.50",4
"81087","020100","0.250","2237.00","3728.75","5965.75",2
"81088","020100","0.125","1118.50","1864.38","2982.88",1
"81089","020300","0.250","2237.00","3728.75","5965.75",2
"81090","010101","0.125","555.63","1864.38","2420.00",1
"81091","039900","2.250","20133.00","41157.00","61290.00",18
"81092","030900","0.125","1118.50","2286.50","3405.00",1
"81093","020100","0.125","1118.50","1864.38","2982.88",1
"81094","091505","0.125","555.63","2286.50","2842.13",1
"81095","030301","0.125","1118.50","2286.50","3405.00",1
"81096","030301","0.125","1118.50","2286.50","3405.00",1
"81097","091901","0.250","4080.75","309.00","4389.75",2
"81098","030301","0.125","1118.50","2286.50","3405.00",1
"81099","030301","0.125","1118.50","2286.50","3405.00",1
"81100","090313","0.125","2040.38","154.50","2194.88",1
"81101","090909","0.125","2040.38","154.50","2194.88",1
"81102","030799","0.250","2237.00","4573.00","6810.00",2
"81103","010911","0.125","1118.50","2286.50","3405.00",1
"81104","010911","0.125","1118.50","2286.50","3405.00",1
"81105","031301","0.125","1118.50","2286.50","3405.00",1
"81106","070115","0.125","555.63","1864.38","2420.00",1
"81107","030301","0.125","1118.50","2286.50","3405.00",1
"81108","100101","0.250","2237.00","3728.75","5965.75",2
"81109","090999","0.125","2040.38","154.50","2194.88",1
"81110","039900","1.000","8948.00","18292.00","27240.00",8
"81111","081101","0.125","2040.38","154.50","2194.88",1
"81112","030701","0.125","1118.50","2286.50","3405.00",1
"81113","020113","0.125","1118.50","1864.38","2982.88",1
"81114","080505","0.125","2040.38","154.50","2194.88",1
"81115","090909","0.125","2040.38","154.50","2194.88",1
"81116","020113","0.125","1118.50","1864.38","2982.88",1
"81117","020119","0.125","1118.50","1864.38","2982.88",1
"81118","050101","0.125","555.63","3799.38","4355.00",1
"81119","050900","0.125","1118.50","2286.50","3405.00",1
"81120","100301","0.125","1118.50","1864.38","2982.88",1
"81121","050900","0.125","1118.50","2286.50","3405.00",1
"81122","050900","0.125","1118.50","2286.50","3405.00",1
"81123","050101","0.125","555.63","3799.38","4355.00",1
"81124","050101","0.125","555.63","3799.38","4355.00",1
"81125","050101","0.125","555.63","3799.38","4355.00",1
"81126","050101","0.125","555.63","3799.38","4355.00",1
"81127","010103","0.125","555.63","1864.38","2420.00",1
"81128","019901","0.125","1118.50","2286.50","3405.00",1
"81129","010101","0.250","1111.25","3728.75","4840.00",2
"81130","010101","0.125","555.63","1864.38","2420.00",1
"81131","081101","0.125","2040.38","154.50","2194.88",1
"81132","010101","0.500","2222.50","7457.50","9680.00",4
"81133","010101","0.750","3333.75","11186.25","14520.00",6
"81134","010101","0.125","555.63","1864.38","2420.00",1
"81135","010101","0.250","1111.25","3728.75","4840.00",2
"81136","010103","0.125","555.63","1864.38","2420.00",1
"81137","010911","0.125","1118.50","2286.50","3405.00",1
"81138","010101","0.125","555.63","1864.38","2420.00",1
"81139","080505","0.125","2040.38","154.50","2194.88",1
"81140","010913","0.875","7829.50","16005.50","23835.00",7
"81141","010915","0.250","2237.00","4573.00","6810.00",2
