"foe_code","foe_name"
"030513","Upholstery and Vehicle Trimming"
"030515","Automotive Vehicle Operations"
"030599","Automotive Engineering and Technology, n.e.c."
"030700","Mechanical and Industrial Engineering and Technology"
"030701","Mechanical Engineering"
"030703","Industrial Engineering"
"030705","Toolmaking"
"030707","Metal Fitting, Turning and Machining"
"030709","Sheetmetal Working"
"030711","Boilermaking and Welding"
"030713","Metal Casting and Patternmaking"
"030715","Precision Metalworking"
"030717","Plant and Machine Operations"
"030799","Mechanical and Industrial Engineering and Technology, n.e.c."
"030900","Civil Engineering"
"030901","Construction Engineering"
"030903","Structural Engineering"
"030905","Building Services Engineering"
"030907","Water and Sanitary Engineering"
"030909","Transport Engineering"
"030911","Geotechnical Engineering"
"030913","Ocean Engineering"
"030999","Civil Engineering, n.e.c."
"031100","Geomatic Engineering"
"031101","Surveying"
"031103","Mapping Science"
"031199","Geomatic Engineering, n.e.c."
"031300","Electrical and Electronic Engineering and Technology"
"031301","Electrical Engineering"
"031303","Electronic Engineering"
"031305","Computer Engineering"
"031307","Communications Technologies"
"031309","Communications Equipment Installation and Maintenance"
"031311","Powerline Installation and Maintenance"
"031313","Electrical Fitting, Electrical Mechanics"
"031315","Refrigeration and Air Conditioning Mechanics"
"031317","Electronic Equipment Servicing"
"031399","Electrical and Electronic Engineering and Technology, n.e.c."
"031500","Aerospace Engineering and Technology"
"031501","Aerospace Engineering"
"031503","Aircraft Maintenance Engineering"
"031505","Aircraft Operation"
"031507","Air Traffic Control"
"031599","Aerospace Engineering and Technology, n.e.c."
"031700","Maritime Engineering and Technology"
"031701","Maritime Engineering"
"031703","Marine Construction"
"031705","Marine Craft Operation"
"031799","Maritime Engineering and Technology, n.e.c."
"039900","Other Engineering and Related Technologies"
"039901","Environmental Engineering"
"039903","Biomedical Engineering"
"039905","Fire Technology"
"039907","Rail Operations"
"039909","Cleaning"
"039999","Engineering and Related Technologies, n.e.c."
"050900","Environmental Studies"
"050901","Land, Parks and Wildlife Management"
"050999","Environmental Studies, n.e.c."
"059900","Other Agriculture, Environmental and Related Studies"
"069903","Human Movement"
"080100","Accounting"
"080101","Accounting"
"080300","Business and Management"
"080301","Business Management"
"080303","Human Resource Management"
"080305","Personal Management Training"
"080307","Organisation Management"
"080309","Industrial Relations"
"080311","International Business"
"080313","Public and Health Care Administration"
"080315","Project Management"
"080317","Quality Management"
"080319","Hospitality Management"
"080321","Farm Management and Agribusiness"
"080323","Tourism Management"
"080501","Sales"
"010301","Physics"
"059901","Pest and Weed Control"
"059999","Agriculture, Environmental and Related Studies, n.e.c."
"050100","Agriculture"
"050101","Agricultural Science"
"050103","Wool Science"
"050105","Animal Husbandry"
"050199","Agriculture, n.e.c."
"050300","Horticulture and Viticulture"
"050301","Horticulture"
"050303","Viticulture"
"050500","Forestry Studies"
"050501","Forestry Studies"
"050700","Fisheries Studies"
"050701","Aquaculture"
"050799","Fisheries Studies, n.e.c."
"060113","Pathology"
"060100","Medical Studies"
"060101","General Medicine"
"060103","Surgery"
"060105","Psychiatry"
"060107","Obstetrics and Gynaecology"
"060109","Paediatrics"
"060111","Anaesthesiology"
"060115","Radiology"
"060117","Internal Medicine"
"060119","General Practice"
"060199","Medical Studies, n.e.c."
"060700","Dental Studies"
"060701","Dentistry"
"060703","Dental Assisting"
"060705","Dental Technology"
"060799","Dental Studies, n.e.c."
"061100","Veterinary Studies"
"061101","Veterinary Science"
"061103","Veterinary Assisting"
"061199","Veterinary Studies, n.e.c."
