"row_id","course_type_broad_name","funding_group_name","unit_level","unit_primary_foe_code","unit_primary_foe_detailed_name","unit_primary_foe_narrow_name","unit_primary_foe_broad_name","eftsl_2024"
"105","Undergraduate","Domestic - C'wealth Supported","4","010901","Biochemistry And Cell Biology","Biological Sciences","Natural And Physical Sciences","0.750"
"106","Undergraduate","Domestic - C'wealth Supported","5","069900","Other Health","Other Health","Health","0.125"
"107","Undergraduate","Domestic - C'wealth Supported","5","010915","Zoology","Biological Sciences","Natural And Physical Sciences","0.250"
"108","Undergraduate","Domestic - C'wealth Supported","4","010905","Ecology And Evolution","Biological Sciences","Natural And Physical Sciences","1.000"
"109","Undergraduate","Domestic - C'wealth Supported","4","010901","Biochemistry And Cell Biology","Biological Sciences","Natural And Physical Sciences","1.750"
"110","Undergraduate","Domestic - C'wealth Supported","4","019999","Natural And Physical Sciences Not Elsewhere Classified","Other Natural And Physical Sciences","Natural And Physical Sciences","0.375"
"111","Undergraduate","Domestic - C'wealth Supported","4","010101","Mathematics","Mathematical Sciences","Natural And Physical Sciences","0.125"
"112","Undergraduate","Domestic - C'wealth Supported","4","010301","Physics","Physics And Astronomy","Natural And Physical Sciences","0.125"
"113","Undergraduate","Domestic - C'wealth Supported","4","010103","Statistics","Mathematical Sciences","Natural And Physical Sciences","0.125"
"114","Undergraduate","Domestic - C'wealth Supported","5","010905","Ecology And Evolution","Biological Sciences","Natural And Physical Sciences","0.125"
"115","Undergraduate","Domestic - C'wealth Supported","4","010500","Chemical Sciences","Chemical Sciences","Natural And Physical Sciences","0.875"
"116","Undergraduate","Domestic - C'wealth Supported","4","090701","Psychology","Behavioural Science","Society And Culture","0.375"
"117","Undergraduate","Domestic - C'wealth Supported","5","100700","Communication And Media Studies","Communication And Media Studies","Creative Arts","0.125"
"118","Undergraduate","Domestic - C'wealth Supported","5","100700","Communication And Media Studies","Communication And Media Studies","Creative Arts","0.125"
"119","Undergraduate","Domestic - C'wealth Supported","5","010905","Ecology And Evolution","Biological Sciences","Natural And Physical Sciences","1.000"
"120","Undergraduate","Domestic - C'wealth Supported","5","020103","Programming","Computer Science","Information Technology","0.125"
"121","Undergraduate","Domestic - C'wealth Supported","5","039999","Engineering And Related Technologies Not Elsewhere Classifie","Other Engineering And Related Technologies","Engineering And Related Technologies","0.125"
"122","Undergraduate","Domestic - C'wealth Supported","4","010901","Biochemistry And Cell Biology","Biological Sciences","Natural And Physical Sciences","1.750"
"123","Undergraduate","Domestic - C'wealth Supported","4","010901","Biochemistry And Cell Biology","Biological Sciences","Natural And Physical Sciences","1.875"
"124","Undergraduate","Domestic - C'wealth Supported","4","010909","Genetics","Biological Sciences","Natural And Physical Sciences","0.250"
"125","Undergraduate","Domestic - C'wealth Supported","5","010905","Ecology And Evolution","Biological Sciences","Natural And Physical Sciences","0.125"
"126","Undergraduate","Domestic - C'wealth Supported","5","100700","Communication And Media Studies","Communication And Media Studies","Creative Arts","0.125"
"127","Undergraduate","Domestic - C'wealth Supported","4","090701","Psychology","Behavioural Science","Society And Culture","4.000"
"128","Undergraduate","Domestic - C'wealth Supported","4","090701","Psychology","Behavioural Science","Society And Culture","1.500"
"129","Undergraduate","Domestic - C'wealth Supported","4","090701","Psychology","Behavioural Science","Society And Culture","2.750"
"130","Undergraduate","Domestic - C'wealth Supported","4","010301","Physics","Physics And Astronomy","Natural And Physical Sciences","0.250"
"131","Undergraduate","Domestic - C'wealth Supported","4","010901","Biochemistry And Cell Biology","Biological Sciences","Natural And Physical Sciences","1.750"
"132","Undergraduate","Domestic - C'wealth Supported","4","010103","Statistics","Mathematical Sciences","Natural And Physical Sciences","0.125"
"133","Undergraduate","Domestic - C'wealth Supported","4","010101","Mathematics","Mathematical Sciences","Natural And Physical Sciences","0.500"
"134","Undergraduate","Domestic - C'wealth Supported","4","010103","Statistics","Mathematical Sciences","Natural And Physical Sciences","0.500"
"135","Undergraduate","Domestic - C'wealth Supported","4","069900","Other Health","Other Health","Health","0.250"
"136","Undergraduate","Domestic - C'wealth Supported","4","069900","Other Health","Other Health","Health","0.375"
"137","Undergraduate","Domestic - C'wealth Supported","4","010900","Biological Sciences","Biological Sciences","Natural And Physical Sciences","2.750"
"138","Undergraduate","Domestic - C'wealth Supported","5","010900","Biological Sciences","Biological Sciences","Natural And Physical Sciences","2.125"
"139","Undergraduate","Domestic - C'wealth Supported","5","010900","Biological Sciences","Biological Sciences","Natural And Physical Sciences","2.125"
"140","Undergraduate","Domestic - C'wealth Supported","4","069900","Other Health","Other Health","Health","0.375"
"141","Undergraduate","Domestic - C'wealth Supported","5","010999","Biological Sciences Not Elsewhere Classified","Biological Sciences","Natural And Physical Sciences","0.625"
"142","Undergraduate","Domestic - C'wealth Supported","4","069900","Other Health","Other Health","Health","0.250"
"143","Undergraduate","Domestic - C'wealth Supported","5","031300","Electrical And Electronic Engineering And Technology","Electrical And Electronic Engineering And Technology","Engineering And Related Technologies","0.125"
"144","Undergraduate","Domestic - C'wealth Supported","5","030301","Chemical Engineering","Process And Resources Engineering","Engineering And Related Technologies","0.125"
"145","Undergraduate","Domestic - C'wealth Supported","5","010999","Biological Sciences Not Elsewhere Classified","Biological Sciences","Natural And Physical Sciences","0.750"
"146","Undergraduate","Domestic - C'wealth Supported","5","010999","Biological Sciences Not Elsewhere Classified","Biological Sciences","Natural And Physical Sciences","0.625"
"147","Undergraduate","Domestic - C'wealth Supported","5","010999","Biological Sciences Not Elsewhere Classified","Biological Sciences","Natural And Physical Sciences","0.625"
"148","Undergraduate","Domestic - C'wealth Supported","4","020100","Computer Science","Computer Science","Information Technology","0.750"
"149","Undergraduate","Domestic - C'wealth Supported","4","020100","Computer Science","Computer Science","Information Technology","1.750"
"150","Undergraduate","Domestic - C'wealth Supported","4","020119","Artificial Intelligence","Computer Science","Information Technology","0.250"
"151","Undergraduate","Domestic - C'wealth Supported","4","020100","Computer Science","Computer Science","Information Technology","0.625"
"152","Undergraduate","Domestic - C'wealth Supported","5","020300","Information Systems","Information Systems","Information Technology","0.500"
"153","Undergraduate","Domestic - C'wealth Supported","4","010900","Biological Sciences","Biological Sciences","Natural And Physical Sciences","2.750"
"154","Undergraduate","Domestic - C'wealth Supported","5","010999","Biological Sciences Not Elsewhere Classified","Biological Sciences","Natural And Physical Sciences","2.125"
"155","Undergraduate","Domestic - C'wealth Supported","5","010900","Biological Sciences","Biological Sciences","Natural And Physical Sciences","2.125"
"156","Undergraduate","Domestic - C'wealth Supported","4","090701","Psychology","Behavioural Science","Society And Culture","4.250"
"157","Undergraduate","Domestic - C'wealth Supported","4","010901","Biochemistry And Cell Biology","Biological Sciences","Natural And Physical Sciences","1.750"
"158","Undergraduate","Domestic - C'wealth Supported","5","039900","Other Engineering And Related Technologies","Other Engineering And Related Technologies","Engineering And Related Technologies","0.250"
