BROAD Discipline (FOE) ,NARROW Discipline (FOE) ,DETAILED Discipline (FOE) ,Funding Cluster,2024 Maximum Student Contibution,2024 Commonwealth Contribution,"Special Course Type Code for the Course of Study
(E312 of 27)","Maximum student contribution indicator
(E392 =8)",2024 Grandfathered Maximum Student Contibution,2024 Grandfathered Maximum Student Contibution
01 - NATURAL AND PHYSICAL SCIENCES,0107 - Earth Sciences,010709 - Soil Science,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
01 - NATURAL AND PHYSICAL SCIENCES,0107 - Earth Sciences,010711 - Hydrology,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
01 - NATURAL AND PHYSICAL SCIENCES,0107 - Earth Sciences,010713 - Oceanography,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
01 - NATURAL AND PHYSICAL SCIENCES,0107 - Earth Sciences,"010799 - Earth Sciences, n.e.c.",Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
01 - NATURAL AND PHYSICAL SCIENCES,0109 - Biological Sciences,010900 - Biological Sciences,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
01 - NATURAL AND PHYSICAL SCIENCES,0109 - Biological Sciences,010901 - Biochemistry and Cell Biology,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
01 - NATURAL AND PHYSICAL SCIENCES,0109 - Biological Sciences,010903 - Botany,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
01 - NATURAL AND PHYSICAL SCIENCES,0109 - Biological Sciences,010905 - Ecology and Evolution,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
01 - NATURAL AND PHYSICAL SCIENCES,0109 - Biological Sciences,010907 - Marine Science,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
01 - NATURAL AND PHYSICAL SCIENCES,0109 - Biological Sciences,010909 - Genetics,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
01 - NATURAL AND PHYSICAL SCIENCES,0109 - Biological Sciences,010911 - Microbiology,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
01 - NATURAL AND PHYSICAL SCIENCES,0109 - Biological Sciences,010913 - Human Biology,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
01 - NATURAL AND PHYSICAL SCIENCES,0109 - Biological Sciences,010915 - Zoology,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
01 - NATURAL AND PHYSICAL SCIENCES,0109 - Biological Sciences,"010999 - Biological Sciences, n.e.c.",Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
01 - NATURAL AND PHYSICAL SCIENCES,0199 - Other Natural and Physical Sciences,019900 - Other Natural and Physical Sciences,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
01 - NATURAL AND PHYSICAL SCIENCES,0199 - Other Natural and Physical Sciences,019901 - Medical Science,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
01 - NATURAL AND PHYSICAL SCIENCES,0199 - Other Natural and Physical Sciences,019903 - Forensic Science,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
01 - NATURAL AND PHYSICAL SCIENCES,0199 - Other Natural and Physical Sciences,019905 - Food Science and Biotechnology,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
01 - NATURAL AND PHYSICAL SCIENCES,0199 - Other Natural and Physical Sciences,019907 - Pharmacology,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
01 - NATURAL AND PHYSICAL SCIENCES,0199 - Other Natural and Physical Sciences,019909 - Laboratory Technology,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
01 - NATURAL AND PHYSICAL SCIENCES,0199 - Other Natural and Physical Sciences,"019999 - Natural and Physical Sciences, n.e.c.",Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0301 - Manufacturing Engineering and Technology,030100 - Manufacturing Engineering and Technology,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0301 - Manufacturing Engineering and Technology,030101 - Manufacturing Engineering,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0301 - Manufacturing Engineering and Technology,030103 - Printing,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0301 - Manufacturing Engineering and Technology,030105 - Textile Making,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0301 - Manufacturing Engineering and Technology,030107 - Garment Making,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0301 - Manufacturing Engineering and Technology,030109 - Footwear Making,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0301 - Manufacturing Engineering and Technology,030111 - Wood Machining and Turning,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0301 - Manufacturing Engineering and Technology,030113 - Cabinet Making,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0301 - Manufacturing Engineering and Technology,030115 - Furniture Upholstery and Renovation,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0301 - Manufacturing Engineering and Technology,030117 - Furniture Polishing,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0301 - Manufacturing Engineering and Technology,"030199 - Manufacturing Engineering and Technology, n.e.c.",Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0303 - Process and Resources Engineering,030300 - Process and Resources Engineering,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0303 - Process and Resources Engineering,030301 - Chemical Engineering,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0303 - Process and Resources Engineering,030303 - Mining Engineering,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0303 - Process and Resources Engineering,030305 - Materials Engineering,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0303 - Process and Resources Engineering,030307 - Food Processing Technology,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0303 - Process and Resources Engineering,"030399 - Process and Resources Engineering, n.e.c.",Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0305 - Automotive Engineering and Technology,030500 - Automotive Engineering and Technology,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0305 - Automotive Engineering and Technology,030501 - Automotive Engineering,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0305 - Automotive Engineering and Technology,030503 - Vehicle Mechanics,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0305 - Automotive Engineering and Technology,030505 - Automotive Electrics and Electronics,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0305 - Automotive Engineering and Technology,030507 - Automotive Vehicle Refinishing,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0305 - Automotive Engineering and Technology,030509 - Automotive Body Construction,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0305 - Automotive Engineering and Technology,030511 - Panel Beating,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0305 - Automotive Engineering and Technology,030513 - Upholstery and Vehicle Trimming,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0305 - Automotive Engineering and Technology,030515 - Automotive Vehicle Operations,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0305 - Automotive Engineering and Technology,"030599 - Automotive Engineering and Technology, n.e.c.",Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0307 - Mechanical and Industrial Engineering and Technology,030700 - Mechanical and Industrial Engineering and Technology,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0307 - Mechanical and Industrial Engineering and Technology,030701 - Mechanical Engineering,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0307 - Mechanical and Industrial Engineering and Technology,030703 - Industrial Engineering,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0307 - Mechanical and Industrial Engineering and Technology,030705 - Toolmaking,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0307 - Mechanical and Industrial Engineering and Technology,"030707 - Metal Fitting, Turning and Machining",Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0307 - Mechanical and Industrial Engineering and Technology,030709 - Sheetmetal Working,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0307 - Mechanical and Industrial Engineering and Technology,030711 - Boilermaking and Welding,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0307 - Mechanical and Industrial Engineering and Technology,030713 - Metal Casting and Patternmaking,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0307 - Mechanical and Industrial Engineering and Technology,030715 - Precision Metalworking,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0307 - Mechanical and Industrial Engineering and Technology,030717 - Plant and Machine Operations,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0307 - Mechanical and Industrial Engineering and Technology,"030799 - Mechanical and Industrial Engineering and Technology, n.e.c.",Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0309 - Civil Engineering,030900 - Civil Engineering,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0309 - Civil Engineering,030901 - Construction Engineering,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0309 - Civil Engineering,030903 - Structural Engineering,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0309 - Civil Engineering,030905 - Building Services Engineering,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0309 - Civil Engineering,030907 - Water and Sanitary Engineering,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0309 - Civil Engineering,030909 - Transport Engineering,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0309 - Civil Engineering,030911 - Geotechnical Engineering,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0309 - Civil Engineering,030913 - Ocean Engineering,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0309 - Civil Engineering,"030999 - Civil Engineering, n.e.c.",Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0311 - Geomatic Engineering,031100 - Geomatic Engineering,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0311 - Geomatic Engineering,031101 - Surveying,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0311 - Geomatic Engineering,031103 - Mapping Science,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0311 - Geomatic Engineering,"031199 - Geomatic Engineering, n.e.c.",Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0313 - Electrical and Electronic Engineering and Technology,031300 - Electrical and Electronic Engineering and Technology,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0313 - Electrical and Electronic Engineering and Technology,031301 - Electrical Engineering,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0313 - Electrical and Electronic Engineering and Technology,031303 - Electronic Engineering,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0313 - Electrical and Electronic Engineering and Technology,031305 - Computer Engineering,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0313 - Electrical and Electronic Engineering and Technology,031307 - Communications Technologies,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0313 - Electrical and Electronic Engineering and Technology,031309 - Communications Equipment Installation and Maintenance,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0313 - Electrical and Electronic Engineering and Technology,031311 - Powerline Installation and Maintenance,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0313 - Electrical and Electronic Engineering and Technology,"031313 - Electrical Fitting, Electrical Mechanics",Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0313 - Electrical and Electronic Engineering and Technology,031315 - Refrigeration and Air Conditioning Mechanics,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0313 - Electrical and Electronic Engineering and Technology,031317 - Electronic Equipment Servicing,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0313 - Electrical and Electronic Engineering and Technology,"031399 - Electrical and Electronic Engineering and Technology, n.e.c.",Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0315 - Aerospace Engineering and Technology,031500 - Aerospace Engineering and Technology,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0315 - Aerospace Engineering and Technology,031501 - Aerospace Engineering,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0315 - Aerospace Engineering and Technology,031503 - Aircraft Maintenance Engineering,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0315 - Aerospace Engineering and Technology,031505 - Aircraft Operation,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0315 - Aerospace Engineering and Technology,031507 - Air Traffic Control,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0315 - Aerospace Engineering and Technology,"031599 - Aerospace Engineering and Technology, n.e.c.",Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0317 - Maritime Engineering and Technology,031700 - Maritime Engineering and Technology,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0317 - Maritime Engineering and Technology,031701 - Maritime Engineering,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0317 - Maritime Engineering and Technology,031703 - Marine Construction,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0317 - Maritime Engineering and Technology,031705 - Marine Craft Operation,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0317 - Maritime Engineering and Technology,"031799 - Maritime Engineering and Technology, n.e.c.",Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0399 - Other Engineering and Related Technologies,039900 - Other Engineering and Related Technologies,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0399 - Other Engineering and Related Technologies,039901 - Environmental Engineering,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0399 - Other Engineering and Related Technologies,039903 - Biomedical Engineering,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0399 - Other Engineering and Related Technologies,039905 - Fire Technology,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0399 - Other Engineering and Related Technologies,039907 - Rail Operations,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0399 - Other Engineering and Related Technologies,039909 - Cleaning,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
03 - ENGINEERING AND RELATED TECHNOLOGIES,0399 - Other Engineering and Related Technologies,"039999 - Engineering and Related Technologies, n.e.c.",Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
"05 - AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",0509 - Environmental Studies,050900 - Environmental Studies,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
"05 - AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",0509 - Environmental Studies,"050901 - Land, Parks and Wildlife Management",Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
"05 - AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",0509 - Environmental Studies,"050999 - Environmental Studies, n.e.c.",Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
"05 - AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES","0599 - Other Agriculture, Environmental and Related Studies","059900 - Other Agriculture, Environmental and Related Studies",Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
"05 - AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES","0599 - Other Agriculture, Environmental and Related Studies",059901 - Pest and Weed Control,Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
"05 - AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES","0599 - Other Agriculture, Environmental and Related Studies","059999 - Agriculture, Environmental and Related Studies, n.e.c.",Funding Cluster 3,"$8,948","$18,292",Any E312 value,Any E392 value,"$8,948","$8,948"
"05 - AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",0501 - Agriculture,050100 - Agriculture,Funding Cluster 4,"$4,445","$30,395",Any E312 value,Any E392 value,"$4,445","$4,445"
"05 - AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",0501 - Agriculture,050101 - Agricultural Science,Funding Cluster 4,"$4,445","$30,395",Any E312 value,Any E392 value,"$4,445","$4,445"
"05 - AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",0501 - Agriculture,050103 - Wool Science,Funding Cluster 4,"$4,445","$30,395",Any E312 value,Any E392 value,"$4,445","$4,445"
"05 - AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",0501 - Agriculture,050105 - Animal Husbandry,Funding Cluster 4,"$4,445","$30,395",Any E312 value,Any E392 value,"$4,445","$4,445"
"05 - AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",0501 - Agriculture,"050199 - Agriculture, n.e.c.",Funding Cluster 4,"$4,445","$30,395",Any E312 value,Any E392 value,"$4,445","$4,445"
"05 - AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",0503 - Horticulture and Viticulture,050300 - Horticulture and Viticulture,Funding Cluster 4,"$4,445","$30,395",Any E312 value,Any E392 value,"$4,445","$4,445"
"05 - AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",0503 - Horticulture and Viticulture,050301 - Horticulture,Funding Cluster 4,"$4,445","$30,395",Any E312 value,Any E392 value,"$4,445","$4,445"
"05 - AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",0503 - Horticulture and Viticulture,050303 - Viticulture,Funding Cluster 4,"$4,445","$30,395",Any E312 value,Any E392 value,"$4,445","$4,445"
"05 - AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",0505 - Forestry Studies,050500 - Forestry Sciences,Funding Cluster 4,"$4,445","$30,395",Any E312 value,Any E392 value,"$4,445","$4,445"
"05 - AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",0505 - Forestry Studies,050501 - Forestry Studies,Funding Cluster 4,"$4,445","$30,395",Any E312 value,Any E392 value,"$4,445","$4,445"
"05 - AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",0507 - Fisheries Studies,050700 - Fisheries Sciences,Funding Cluster 4,"$4,445","$30,395",Any E312 value,Any E392 value,"$4,445","$4,445"
"05 - AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",0507 - Fisheries Studies,050701 - Aquaculture,Funding Cluster 4,"$4,445","$30,395",Any E312 value,Any E392 value,"$4,445","$4,445"
"05 - AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",0507 - Fisheries Studies,"050799 - Fisheries Studies, n.e.c.",Funding Cluster 4,"$4,445","$30,395",Any E312 value,Any E392 value,"$4,445","$4,445"
06 - HEALTH,0601 - Medical Studies,060113 - Pathology,Funding Cluster 4,"$8,948","$30,395",Any E312 value,Any E392 value,"$8,948","$8,948"
06 - HEALTH,0601 - Medical Studies,060100 - Medical Studies,Funding Cluster 4,"$12,720","$30,395",Any E312 value,Any E392 value,"$12,720","$12,720"
06 - HEALTH,0601 - Medical Studies,060101 - General Medicine,Funding Cluster 4,"$12,720","$30,395",Any E312 value,Any E392 value,"$12,720","$12,720"
06 - HEALTH,0601 - Medical Studies,060103 - Surgery,Funding Cluster 4,"$12,720","$30,395",Any E312 value,Any E392 value,"$12,720","$12,720"
06 - HEALTH,0601 - Medical Studies,060105 - Psychiatry,Funding Cluster 4,"$12,720","$30,395",Any E312 value,Any E392 value,"$12,720","$12,720"
06 - HEALTH,0601 - Medical Studies,060107 - Obstetrics and Gynaecology,Funding Cluster 4,"$12,720","$30,395",Any E312 value,Any E392 value,"$12,720","$12,720"
06 - HEALTH,0601 - Medical Studies,060109 - Paediatrics,Funding Cluster 4,"$12,720","$30,395",Any E312 value,Any E392 value,"$12,720","$12,720"
06 - HEALTH,0601 - Medical Studies,060111 - Anaesthesiology,Funding Cluster 4,"$12,720","$30,395",Any E312 value,Any E392 value,"$12,720","$12,720"
06 - HEALTH,0601 - Medical Studies,060115 - Radiology,Funding Cluster 4,"$12,720","$30,395",Any E312 value,Any E392 value,"$12,720","$12,720"
06 - HEALTH,0601 - Medical Studies,060117 - Internal Medicine,Funding Cluster 4,"$12,720","$30,395",Any E312 value,Any E392 value,"$12,720","$12,720"
06 - HEALTH,0601 - Medical Studies,060119 - General Practice,Funding Cluster 4,"$12,720","$30,395",Any E312 value,Any E392 value,"$12,720","$12,720"
06 - HEALTH,0601 - Medical Studies,"060199 - Medical Studies, n.e.c.",Funding Cluster 4,"$12,720","$30,395",Any E312 value,Any E392 value,"$12,720","$12,720"
