BROAD Discipline (FOE) ,NARROW Discipline (FOE) ,DETAILED Discipline (FOE) ,Funding Cluster,2024 Maximum Student Contibution,2024 Commonwealth Contribution,"Special Course Type Code for the Course of Study
(E312 of 27)","Maximum student contribution indicator
(E392 =8)",2024 Grandfathered Maximum Student Contibution,2024 Grandfathered Maximum Student Contibution
08 - MANAGEMENT AND COMMERCE,0805 - Sales and Marketing,080501 - Sales,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
08 - MANAGEMENT AND COMMERCE,0805 - Sales and Marketing,080503 - Real Estate,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
08 - MANAGEMENT AND COMMERCE,0805 - Sales and Marketing,080505 - Marketing,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
08 - MANAGEMENT AND COMMERCE,0805 - Sales and Marketing,080507 - Advertising,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
08 - MANAGEMENT AND COMMERCE,0805 - Sales and Marketing,080509 - Public Relations,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
08 - MANAGEMENT AND COMMERCE,0805 - Sales and Marketing,"080599 - Sales and Marketing, n.e.c.",Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
08 - MANAGEMENT AND COMMERCE,0807 - Tourism,080700 - Tourism,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
08 - MANAGEMENT AND COMMERCE,0807 - Tourism,080701 - Tourism,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
08 - MANAGEMENT AND COMMERCE,0809 - Office Studies,080900 - Office Studies,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
08 - MANAGEMENT AND COMMERCE,0809 - Office Studies,080901 - Secretarial and Clerical Studies,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
08 - MANAGEMENT AND COMMERCE,0809 - Office Studies,080903 - Keyboard Skills,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
08 - MANAGEMENT AND COMMERCE,0809 - Office Studies,080905 - Practical Computing Skills,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
08 - MANAGEMENT AND COMMERCE,0809 - Office Studies,"080999 - Office Studies, n.e.c.",Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
08 - MANAGEMENT AND COMMERCE,"0811 - Banking, Finance and Related Fields","081100 - Banking, Finance and Related Fields",Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
08 - MANAGEMENT AND COMMERCE,"0811 - Banking, Finance and Related Fields",081101 - Banking and Finance,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
08 - MANAGEMENT AND COMMERCE,"0811 - Banking, Finance and Related Fields",081103 - Insurance and Actuarial Studies,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
08 - MANAGEMENT AND COMMERCE,"0811 - Banking, Finance and Related Fields",081105 - Investment and Securities,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
